epoch,train_loss,train_error,valid_loss,valid_error,test_error
138,0.177349,0.062511,0.30001,0.09400,
139,0.176987,0.062133,0.36850,0.10720,
140,0.183342,0.064689,0.37102,0.10920,
141,0.177584,0.062444,0.37114,0.11000,
142,0.173375,0.060044,0.37302,0.11560,
143,0.178356,0.062022,0.38969,0.11400,
144,0.176680,0.062089,0.32678,0.10100,
145,0.179487,0.062467,0.31136,0.09440,
146,0.176985,0.061889,0.33783,0.10420,
147,0.173619,0.060889,0.35988,0.11360,
148,0.177122,0.061867,0.33061,0.10020,
149,0.167514,0.059533,0.47646,0.13440,
150,0.195511,0.066911,0.33668,0.10480,
151,0.084844,0.027111,0.18671,0.05780,
152,0.054067,0.017200,0.18722,0.05480,
153,0.041936,0.012489,0.19871,0.05660,
154,0.037860,0.010844,0.18864,0.05400,
155,0.033040,0.009800,0.19929,0.05620,
156,0.028168,0.007733,0.19787,0.05140,
157,0.024826,0.007000,0.20980,0.05420,
158,0.022494,0.006000,0.19941,0.05500,
159,0.021830,0.006067,0.20580,0.05440,
160,0.019517,0.005444,0.21077,0.05300,
161,0.020027,0.005244,0.21418,0.05340,
162,0.016501,0.004000,0.22295,0.05440,
163,0.015818,0.003578,0.22220,0.05280,
164,0.015294,0.003844,0.22530,0.05520,
165,0.014298,0.003489,0.23089,0.05620,
166,0.013552,0.003333,0.22900,0.05520,
167,0.014794,0.004178,0.22397,0.05360,
168,0.012057,0.002578,0.22475,0.05460,
169,0.012636,0.003200,0.22513,0.05440,
170,0.010535,0.002267,0.22359,0.05280,
171,0.011320,0.002600,0.22671,0.05080,
172,0.011936,0.002778,0.23108,0.05320,
173,0.010551,0.002422,0.24048,0.05460,
174,0.010979,0.002467,0.24326,0.05640,
175,0.009521,0.001956,0.23187,0.05100,
176,0.008962,0.002044,0.24971,0.05680,
177,0.008541,0.001889,0.24213,0.05420,
178,0.008212,0.001667,0.23615,0.05260,
179,0.007727,0.001222,0.24362,0.05400,
180,0.008514,0.001778,0.23726,0.05480,
181,0.008369,0.001756,0.23782,0.05380,
182,0.007911,0.001489,0.23900,0.05340,
183,0.008892,0.001978,0.25420,0.05680,
184,0.007761,0.001556,0.24572,0.05580,
185,0.007585,0.001667,0.24163,0.05440,
186,0.007624,0.001711,0.24108,0.05380,
187,0.007624,0.001644,0.23883,0.05540,
188,0.006792,0.001444,0.24955,0.05540,
189,0.006547,0.001311,0.24352,0.05460,
190,0.006494,0.001178,0.24712,0.05320,
191,0.006472,0.001222,0.24463,0.05040,
192,0.007876,0.001867,0.24724,0.05400,
193,0.007685,0.001422,0.23547,0.05140,
194,0.006185,0.001133,0.25213,0.05480,
195,0.006518,0.001289,0.25295,0.05460,
196,0.008384,0.001844,0.25488,0.05400,
197,0.008663,0.001822,0.24341,0.05520,
198,0.006907,0.001444,0.25126,0.05360,
199,0.008132,0.001800,0.25678,0.05460,
200,0.007337,0.001489,0.25087,0.05380,
201,0.005829,0.000956,0.25106,0.05620,
202,0.007097,0.001667,0.24070,0.05380,
203,0.006962,0.001578,0.24682,0.05500,
204,0.008477,0.001822,0.24527,0.05240,
205,0.006907,0.001356,0.24487,0.05380,
206,0.008662,0.002333,0.24220,0.05260,
207,0.006611,0.001356,0.24544,0.05420,
208,0.005379,0.000778,0.24655,0.05400,
209,0.006375,0.001489,0.24355,0.05680,
210,0.005868,0.001222,0.25356,0.05640,
211,0.010449,0.002889,0.24169,0.05480,
212,0.007344,0.001622,0.24117,0.05600,
213,0.007285,0.001600,0.24247,0.05380,
214,0.006548,0.001356,0.24257,0.05240,
215,0.006253,0.001244,0.24788,0.05460,
216,0.005470,0.001044,0.23459,0.05300,
217,0.006016,0.001511,0.25315,0.05300,
218,0.006236,0.001400,0.27077,0.05640,
219,0.012135,0.003489,0.24563,0.05740,
220,0.008519,0.002133,0.25049,0.05700,
221,0.008320,0.002022,0.25780,0.05840,
222,0.013590,0.003600,0.26403,0.06020,
223,0.011052,0.002844,0.26506,0.05900,
