epoch,train_loss,train_error,valid_loss,valid_error,test_error
092,0.112731,0.039333,0.25337,0.08180,
093,0.135922,0.047356,0.39608,0.12360,
094,0.130494,0.046622,0.35091,0.10040,
095,0.130079,0.045467,0.19908,0.06340,
096,0.113380,0.039733,0.49065,0.13000,
097,0.132553,0.045622,0.22466,0.07200,
098,0.114836,0.040289,0.23834,0.07480,
099,0.117191,0.040733,0.23260,0.06920,
100,0.109823,0.038133,0.19961,0.06540,
101,0.117880,0.040578,0.23918,0.07760,
102,0.113151,0.040378,0.24054,0.07660,
103,0.116575,0.040156,0.36373,0.10200,
104,0.122983,0.041844,0.23274,0.07320,
105,0.111206,0.038422,0.27427,0.08300,
106,0.121767,0.042533,0.18240,0.05760,
107,0.116294,0.040444,0.23908,0.07580,
108,0.113030,0.039422,0.40959,0.11080,
109,0.124566,0.042711,0.29202,0.08700,
110,0.116758,0.040689,0.72932,0.18160,
111,0.134462,0.045822,0.34484,0.10160,
112,0.110089,0.037933,0.24238,0.07440,
113,0.113059,0.038644,0.34447,0.09180,
114,0.116115,0.040156,0.24585,0.07600,
115,0.105088,0.036911,0.19466,0.06180,
116,0.112784,0.038822,0.48792,0.12460,
117,0.117570,0.039867,0.35663,0.10240,
118,0.114314,0.039622,0.29441,0.08560,
119,0.112819,0.040667,0.32413,0.09700,
120,0.113898,0.039778,0.22627,0.07220,
121,0.106773,0.036978,0.31944,0.09120,
122,0.116824,0.040444,0.23267,0.07220,
123,0.108515,0.037111,0.27352,0.08680,
124,0.115788,0.040022,0.22922,0.07120,
125,0.111995,0.040044,0.36835,0.10560,
126,0.115322,0.040356,0.19567,0.06280,
127,0.107470,0.037200,0.24670,0.06860,
128,0.113305,0.039956,0.23448,0.07740,
129,0.101555,0.034622,0.21795,0.06400,
130,0.127317,0.044578,0.50579,0.11560,
131,0.123227,0.042311,0.16776,0.05980,
132,0.117768,0.040667,0.20878,0.06780,
133,0.122366,0.042244,0.39240,0.11400,
134,0.136080,0.046578,0.18642,0.06100,
135,0.113725,0.039756,0.32971,0.09460,
136,0.110317,0.038222,0.16865,0.05840,
137,0.112340,0.039222,0.22869,0.07100,
138,0.112505,0.038667,0.28296,0.08580,
139,0.121908,0.043022,0.50471,0.13780,
140,0.126521,0.043444,0.19645,0.06240,
141,0.110889,0.037844,0.24779,0.08320,
142,0.106338,0.036756,0.19534,0.06040,
143,0.104446,0.035244,0.19415,0.06260,
144,0.117407,0.040911,0.19820,0.06600,
145,0.115042,0.039889,0.22512,0.06820,
146,0.109112,0.037467,0.31865,0.08900,
147,0.113547,0.039467,0.25953,0.07880,
148,0.113847,0.039400,0.30073,0.08400,
149,0.115005,0.040000,0.19695,0.06120,
150,0.106563,0.037467,0.24386,0.07300,
151,0.045869,0.014556,0.08718,0.03060,
152,0.021671,0.005511,0.08180,0.02860,
153,0.014962,0.003444,0.08062,0.02700,
154,0.011216,0.002467,0.07514,0.02660,
155,0.009102,0.001667,0.07687,0.02600,
156,0.008275,0.001489,0.07392,0.02420,
157,0.007598,0.001489,0.07315,0.02480,
158,0.006875,0.001156,0.07190,0.02500,
159,0.005931,0.000889,0.07460,0.02420,
160,0.005250,0.000756,0.07041,0.02400,
161,0.004658,0.000578,0.07349,0.02620,
162,0.005037,0.000822,0.07496,0.02440,
163,0.004381,0.000711,0.07754,0.02380,
164,0.003913,0.000467,0.07246,0.02380,
165,0.004271,0.000733,0.07673,0.02380,
166,0.003625,0.000378,0.07120,0.02200,
167,0.003592,0.000489,0.07055,0.02320,
168,0.003094,0.000356,0.07684,0.02400,
169,0.003188,0.000311,0.07078,0.02440,
170,0.002630,0.000289,0.07572,0.02460,
171,0.002474,0.000133,0.07327,0.02540,
172,0.002485,0.000156,0.07145,0.02240,
173,0.002437,0.000267,0.07124,0.02220,
174,0.002221,0.000156,0.07025,0.02180,
175,0.002641,0.000356,0.07005,0.02280,
176,0.002640,0.000311,0.07337,0.02300,
177,0.002256,0.000222,0.07494,0.02340,
178,0.002303,0.000267,0.07454,0.02380,
179,0.002141,0.000178,0.07143,0.02240,
180,0.002143,0.000178,0.07322,0.02100,
181,0.002487,0.000244,0.07481,0.02400,
182,0.002121,0.000111,0.07149,0.02260,
183,0.001916,0.000044,0.07162,0.02160,
184,0.001880,0.000111,0.07193,0.02160,
185,0.001814,0.000111,0.07360,0.02260,
186,0.001825,0.000156,0.07339,0.02280,
187,0.001713,0.000044,0.07964,0.02500,
188,0.001725,0.000067,0.06975,0.02140,
189,0.011161,0.003178,0.00958,0.00280,
190,0.006499,0.001644,0.00738,0.00240,
191,0.004900,0.000978,0.00896,0.00220,
192,0.003943,0.000600,0.01063,0.00280,
193,0.003730,0.000644,0.00800,0.00240,
194,0.002714,0.000289,0.00870,0.00220,
195,0.002824,0.000533,0.00788,0.00260,
196,0.002236,0.000156,0.00912,0.00260,
197,0.002764,0.000400,0.00740,0.00240,
198,0.002720,0.000422,0.00833,0.00200,
199,0.002305,0.000267,0.00741,0.00140,
200,0.002245,0.000267,0.00687,0.00200,
201,0.002066,0.000178,0.00787,0.00180,
202,0.002488,0.000400,0.00756,0.00200,
203,0.003213,0.000467,0.00914,0.00320,
204,0.003578,0.000667,0.01021,0.00260,
205,0.002257,0.000289,0.01038,0.00260,
206,0.002427,0.000222,0.00962,0.00260,
207,0.002162,0.000178,0.01033,0.00300,
208,0.001639,0.000111,0.00928,0.00240,
209,0.001753,0.000133,0.01059,0.00280,
210,0.001587,0.000022,0.00918,0.00220,
211,0.001830,0.000244,0.00887,0.00220,
212,0.001725,0.000156,0.00802,0.00180,
213,0.001799,0.000200,0.00908,0.00260,
214,0.001600,0.000200,0.01013,0.00240,
215,0.003265,0.000667,0.01034,0.00260,
216,0.001835,0.000111,0.00966,0.00240,
217,0.001406,0.000044,0.00941,0.00240,
218,0.001802,0.000200,0.00982,0.00260,
219,0.001631,0.000178,0.00913,0.00200,
220,0.001631,0.000133,0.00962,0.00260,
221,0.001243,0.000044,0.00950,0.00200,
222,0.001215,0.000044,0.01181,0.00300,
223,0.001308,0.000111,0.01101,0.00280,
224,0.001286,0.000089,0.00931,0.00300,
225,0.001366,0.000156,0.01093,0.00320,
226,0.002588,0.000356,0.00049,0.00020,
227,0.002354,0.000444,0.00052,0.00020,
228,0.001944,0.000422,0.00030,0.00000,
229,0.001917,0.000356,0.00028,0.00000,
230,0.001590,0.000222,0.00028,0.00000,
231,0.001600,0.000356,0.00023,0.00000,
232,0.001288,0.000067,0.00034,0.00000,
233,0.001549,0.000200,0.00049,0.00020,
234,0.001384,0.000178,0.00049,0.00020,
235,0.001266,0.000089,0.00035,0.00000,
236,0.001174,0.000067,0.00030,0.00000,
237,0.001186,0.000089,0.00046,0.00020,
238,0.001274,0.000089,0.00060,0.00020,
239,0.001087,0.000044,0.00023,0.00000,
240,0.001147,0.000111,0.00027,0.00000,
241,0.001333,0.000178,0.00029,0.00000,
242,0.001032,0.000022,0.00023,0.00000,
243,0.001070,0.000089,0.00026,0.00000,
244,0.001168,0.000089,0.00032,0.00000,
245,0.001008,0.000022,0.00039,0.00000,
246,0.001145,0.000089,0.00036,0.00020,
247,0.001021,0.000022,0.00043,0.00020,
248,0.001189,0.000156,0.00026,0.00000,
249,0.001097,0.000067,0.00048,0.00020,
250,0.001051,0.000044,0.00047,0.00020,
251,0.000926,0.000022,0.00029,0.00000,
252,0.001013,0.000044,0.00032,0.00000,
253,0.001043,0.000089,0.00033,0.00000,
254,0.001001,0.000022,0.00025,0.00000,
255,0.001129,0.000133,0.00027,0.00000,
256,0.001125,0.000089,0.00030,0.00000,
257,0.000945,0.000044,0.00028,0.00000,
258,0.001010,0.000022,0.00032,0.00000,
259,0.001124,0.000111,0.00043,0.00020,
260,0.000991,0.000067,0.00030,0.00000,
261,0.000917,0.000044,0.00021,0.00000,
262,0.000984,0.000067,0.00029,0.00000,
263,0.000951,0.000044,0.00022,0.00000,
264,0.001160,0.000022,0.00023,0.00000,
265,0.001042,0.000067,0.00023,0.00000,
266,0.001099,0.000178,0.00021,0.00000,
267,0.000863,0.000044,0.00026,0.00000,
268,0.000842,0.000000,0.00023,0.00000,
269,0.000870,0.000022,0.00027,0.00000,
270,0.000885,0.000044,0.00024,0.00000,
271,0.000939,0.000044,0.00027,0.00000,
272,0.000878,0.000022,0.00023,0.00000,
273,0.000868,0.000000,0.00021,0.00000,
274,0.001060,0.000111,0.00021,0.00000,
275,0.000857,0.000000,0.00027,0.00000,
276,0.000924,0.000044,0.00022,0.00000,
277,0.000896,0.000000,0.00019,0.00000,
278,0.000864,0.000000,0.00019,0.00000,
279,0.000877,0.000044,0.00021,0.00000,
280,0.001130,0.000089,0.00025,0.00000,
281,0.000991,0.000044,0.00024,0.00000,
282,0.000940,0.000000,0.00026,0.00000,
283,0.000980,0.000044,0.00028,0.00000,
284,0.000846,0.000000,0.00024,0.00000,
285,0.000922,0.000067,0.00021,0.00000,
286,0.000918,0.000067,0.00032,0.00000,
287,0.001073,0.000044,0.00022,0.00000,
288,0.001199,0.000133,0.00022,0.00000,
289,0.000895,0.000022,0.00025,0.00000,
290,0.000940,0.000022,0.00027,0.00000,
291,0.000893,0.000111,0.00026,0.00000,
292,0.000905,0.000022,0.00024,0.00000,
293,0.000928,0.000067,0.00023,0.00000,
294,0.000811,0.000022,0.00022,0.00000,
295,0.000847,0.000044,0.00022,0.00000,
296,0.000934,0.000067,0.00026,0.00000,
297,0.000990,0.000067,0.00022,0.00000,
298,0.000816,0.000000,0.00030,0.00000,
299,0.000840,0.000067,0.00029,0.00000,
300,0.000854,0.000022,0.00024,0.00000,
,,,,,0.03670
