epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.803861,0.625133,2.68513,0.52660,
002,1.040824,0.367333,1.83699,0.32880,
003,0.751847,0.262733,0.83254,0.26480,
004,0.590187,0.202667,0.70484,0.22660,
005,0.500244,0.172844,0.66778,0.21380,
006,0.448061,0.152578,0.58273,0.19220,
007,0.396563,0.135489,0.47401,0.15580,
008,0.362541,0.123400,0.56446,0.18180,
009,0.332806,0.114600,0.64032,0.19880,
010,0.312061,0.106978,0.77839,0.22820,
011,0.296609,0.102200,0.41592,0.13380,
012,0.278396,0.097244,0.40276,0.13300,
013,0.257768,0.090533,0.47835,0.14980,
014,0.253288,0.087533,0.37296,0.12340,
015,0.239027,0.083289,0.42187,0.13380,
016,0.228218,0.079311,0.48479,0.14220,
017,0.232922,0.080844,0.39626,0.12060,
018,0.218875,0.076111,0.40352,0.12840,
019,0.216576,0.075422,0.50708,0.14900,
020,0.212716,0.075067,0.35758,0.10520,
021,0.202648,0.070067,0.44582,0.13780,
022,0.216263,0.074800,0.25590,0.08580,
023,0.206742,0.071244,0.24259,0.08140,
024,0.189825,0.064267,0.23081,0.08080,
025,0.191170,0.066222,0.23669,0.07780,
026,0.191489,0.066689,0.26445,0.08160,
027,0.181372,0.063044,0.31356,0.09640,
028,0.185822,0.065778,0.21422,0.07320,
029,0.177225,0.061667,0.27088,0.08660,
030,0.174879,0.060956,0.27439,0.09040,
031,0.177912,0.061933,0.50122,0.13820,
032,0.174266,0.059822,0.59964,0.16820,
033,0.184697,0.064711,0.30056,0.09440,
034,0.168555,0.058711,0.33008,0.10980,
035,0.163440,0.057222,0.30479,0.09860,
036,0.172917,0.059689,0.30585,0.09380,
037,0.168990,0.058244,0.25583,0.08240,
038,0.158739,0.054956,0.28427,0.08960,
039,0.159083,0.055756,0.28760,0.08680,
040,0.163302,0.057289,0.23934,0.07640,
041,0.156899,0.054578,0.32773,0.09940,
042,0.161828,0.056622,0.26021,0.08280,
043,0.150455,0.051444,0.33257,0.10000,
044,0.156360,0.054489,0.28606,0.08660,
045,0.153724,0.053067,0.28071,0.09020,
046,0.150827,0.052200,0.25291,0.07860,
047,0.147319,0.051356,0.47072,0.12780,
048,0.147121,0.050756,0.36664,0.10800,
049,0.157132,0.054956,0.29207,0.08940,
050,0.143421,0.049489,0.31974,0.09380,
051,0.156580,0.053578,0.29056,0.09280,
052,0.140963,0.048556,0.30713,0.09700,
053,0.144016,0.049378,0.51333,0.14120,
054,0.168814,0.058156,0.20081,0.06200,
055,0.153179,0.053244,0.14503,0.05300,
056,0.142326,0.050022,0.18643,0.06140,
057,0.143582,0.049644,0.17407,0.05880,
058,0.139951,0.048778,0.18657,0.06440,
059,0.137215,0.046933,0.23625,0.07680,
060,0.134808,0.045711,0.27144,0.08840,
061,0.133211,0.046467,0.23520,0.07580,
062,0.141987,0.049378,0.21464,0.07100,
063,0.136696,0.047511,0.25870,0.08520,
064,0.138867,0.048933,0.29493,0.08800,
065,0.135806,0.047067,0.27129,0.08700,
066,0.128272,0.043200,0.27297,0.08560,
067,0.126013,0.043022,0.24858,0.08040,
068,0.136814,0.048133,0.38087,0.11460,
069,0.136506,0.047622,0.24502,0.07820,
070,0.124160,0.043178,0.29378,0.08820,
071,0.127777,0.045289,0.23489,0.07280,
072,0.128640,0.044333,0.64193,0.17120,
073,0.150245,0.051889,0.23807,0.07860,
074,0.126874,0.044311,0.48693,0.13880,
075,0.139792,0.049022,0.27998,0.08440,
076,0.118070,0.040978,0.27482,0.08920,
077,0.118086,0.041044,0.28627,0.08620,
078,0.123161,0.042644,0.40993,0.11000,
079,0.129630,0.044733,2.17554,0.24540,
080,0.153794,0.053333,0.16714,0.05620,
081,0.123366,0.042556,0.17156,0.05620,
082,0.133411,0.046222,0.21056,0.07140,
083,0.127141,0.043244,0.21252,0.06840,
084,0.124473,0.043556,0.18815,0.06200,
085,0.119243,0.042289,0.30953,0.09460,
086,0.124985,0.043933,0.25048,0.07880,
087,0.123738,0.042800,0.18331,0.06020,
088,0.126205,0.043600,0.30959,0.09280,
089,0.122046,0.041733,0.30511,0.09080,
090,0.134290,0.046844,0.22376,0.07380,
091,0.114083,0.040467,0.18633,0.06020,
